USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.1  0.0  23196 14608 ?        Ss   May04  22:56 /usr/lib/systemd/systemd --system --deserialize=79
zeazdev  2188918  0.0  0.0   6072  2656 pts/0    T    02:09   0:00 pager
root     2246517  1.3  0.2 1361180 41632 ?       Ssl  04:08   5:07 /usr/local/bin/cloudflared --no-autoupdate tunnel run --token eyJhIjoiOWFmZDAzZmZmMDI4NDZiNGNhODljYWVmZjM1MGNlNTYiLCJ0IjoiZWYwMzU1ZGQtOGU5MC00NWVkLWEyMjItYjUwNTM3OTRlZDIwIiwicyI6Ill6RmpaR015WVRJdE9XWXdZUzAwWW1NNUxXSTBaakF0T1RjNE9ETTJaREppWlRFdyJ9
root     2250338  0.0  0.0      0     0 ?        I<   04:13   0:01 [kworker/4:0H-kblockd]
root     2350793  0.0  0.0      0     0 ?        I<   06:30   0:00 [kworker/1:1H]
root     2396648  0.0  0.0      0     0 ?        I<   07:31   0:00 [kworker/5:2H-kblockd]
root     2451797  0.0  0.0      0     0 ?        I<   08:41   0:00 [kworker/5:1H-kblockd]
root     2451896  0.0  0.0      0     0 ?        I<   08:41   0:00 [kworker/2:1H]
zeazdev  2466738  0.0  0.5 11620456 92264 ?      Ssl  08:55   0:02 /usr/bin/node /opt/zwallet/apps/admin-wallet/dist/server.js
zeazdev  2466764  0.0  0.5 11621040 86716 ?      Ssl  08:55   0:04 /usr/bin/node /opt/zwallet/services/wallet-engine/dist/runTransferWorker.js
root     2468995  0.0  0.0      0     0 ?        I<   08:57   0:00 [kworker/0:2H]
root     2483859  0.0  0.0      0     0 ?        I<   09:11   0:00 [kworker/1:2H-kblockd]
root     2484207  0.0  0.0      0     0 ?        I<   09:12   0:00 [kworker/0:1H-kblockd]
root     2500334  0.1  0.0      0     0 ?        I<   09:26   0:05 [kworker/7:2H-kblockd]
root     2509326  0.0  0.0      0     0 ?        I    09:35   0:00 [kworker/4:2-mm_percpu_wq]
root     2521735  0.0  0.0      0     0 ?        I    09:46   0:00 [kworker/4:1-events]
root     2523793  0.0  0.0      0     0 ?        I    09:49   0:00 [kworker/u256:7-iou_exit]
root     2526164  0.0  0.0      0     0 ?        I    09:52   0:00 [kworker/6:1-cgroup_free]
root     2526215  0.0  0.0      0     0 ?        I    09:52   0:00 [kworker/1:2-rcu_par_gp]
root     2526315  0.0  0.0      0     0 ?        I<   09:52   0:00 [kworker/4:2H]
zeazdev  2529911  0.0  0.2 1439024 48956 pts/0   Tl   09:57   0:00 node --trace-deprecation
root     2530357  0.0  0.0      0     0 ?        I    09:57   0:00 [kworker/6:0-mm_percpu_wq]
root     2532457  0.0  0.0      0     0 ?        I    09:59   0:00 [kworker/1:3-rcu_par_gp]
root     2533660  0.0  0.0      0     0 ?        I    09:59   0:00 [kworker/5:3-rcu_par_gp]
root     2534540  0.0  0.0      0     0 ?        I    10:00   0:00 [kworker/0:2-events]
root     2536782  0.0  0.0      0     0 ?        I    10:02   0:00 [kworker/u256:3-iou_exit]
root     2536784  0.0  0.0      0     0 ?        I    10:02   0:00 [kworker/u256:6-iou_exit]
root     2536787  0.0  0.0      0     0 ?        I    10:02   0:00 [kworker/u256:14-events_unbound]
root     2540034  0.0  0.0      0     0 ?        I    10:04   0:00 [kworker/4:0-cgroup_release]
root     2540526  0.0  0.0      0     0 ?        I    10:04   0:00 [kworker/2:0-rcu_par_gp]
root     2542355  0.0  0.0      0     0 ?        I    10:05   0:00 [kworker/3:1-rcu_par_gp]
root     2544536  0.0  0.0      0     0 ?        I    10:07   0:00 [kworker/u256:0-iou_exit]
root     2545184  0.0  0.0      0     0 ?        I    10:08   0:00 [kworker/6:2-events]
root     2546241  0.0  0.0      0     0 ?        I    10:08   0:00 [kworker/0:3-events]
root     2549427  0.0  0.0      0     0 ?        I    10:11   0:00 [kworker/7:0-cgroup_release]
root     2549535  0.0  0.0      0     0 ?        I<   10:11   0:00 [kworker/7:1H]
root     2550255  0.0  0.0      0     0 ?        I    10:11   0:00 [kworker/5:1-events]
root     2550285  0.0  0.0      0     0 ?        I    10:11   0:00 [kworker/u256:2-events_power_efficient]
root     2550775  0.0  0.0      0     0 ?        S    10:11   0:00 [psimon]
root     2554525  0.0  0.0      0     0 ?        I    10:14   0:00 [kworker/7:3-events]
root     2554634  0.0  0.0      0     0 ?        I    10:14   0:00 [kworker/3:2-mm_percpu_wq]
root     2556905  0.0  0.0      0     0 ?        I    10:16   0:00 [kworker/2:1-cgroup_release]
root     2556928  0.0  0.0      0     0 ?        I    10:16   0:00 [kworker/1:0-events]
root     2557042  0.0  0.0      0     0 ?        I    10:16   0:00 [kworker/0:0-rcu_par_gp]
root     2557644  0.0  0.0      0     0 ?        I<   10:17   0:00 [kworker/7:0H]
root     2557897  0.0  0.0      0     0 ?        I    10:17   0:00 [kworker/5:0-mm_percpu_wq]
root     2557962  0.0  0.0      0     0 ?        I    10:17   0:00 [kworker/u256:1-events_unbound]
root     2558930  0.0  0.0      0     0 ?        I    10:17   0:00 [kworker/1:1-events]
root     2561577  0.0  0.0      0     0 ?        I    10:19   0:00 [kworker/3:0-cgroup_free]
root     2561657  0.0  0.0      0     0 ?        I    10:20   0:00 [kworker/6:3-rcu_par_gp]
root     2561984  0.0  0.0      0     0 ?        I    10:20   0:00 [kworker/u256:4]
root     2563163  0.0  0.0      0     0 ?        I    10:21   0:00 [kworker/4:3-cgroup_free]
root     2563648  0.0  0.0      0     0 ?        I    10:21   0:00 [kworker/7:1-events]
root     2563662  0.0  0.0      0     0 ?        I    10:21   0:00 [kworker/3:3-rcu_par_gp]
root     2563745  0.0  0.0      0     0 ?        I    10:21   0:00 [kworker/2:2-cgroup_bpf_destroy]
root     2564447  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/7:2-rcu_par_gp]
root     2564711  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/2:3-events]
zeazdev  2565406  200  0.0  12472  5452 pts/0    R+   10:22   0:00 ps -aux
root     3901112  0.0  0.0      0     0 ?        I<   May04   0:00 [kworker/R-tls-s]
